epoch,d_loss,g_loss
728,0.3635,7.8673
729,0.3617,7.4543
730,0.3683,7.7779
731,0.3642,7.9315
732,0.368,7.6789
733,0.3661,7.6404
734,0.3591,7.5108
735,0.3652,7.8883
736,0.3569,8.0614
737,0.3792,7.6744
738,0.3664,7.3141
739,0.3581,7.2011
740,0.3651,7.4048
741,0.3654,7.6138
742,0.3626,7.5276
743,0.3622,7.812
744,0.3668,7.8689
745,0.3585,7.8875
746,0.3657,7.8074
747,0.3594,8.1432
748,0.3587,7.8313
749,0.3692,7.8763
750,0.3607,7.7377
751,0.3598,7.8838
752,0.3568,7.701
753,0.3619,7.9941
754,0.3619,7.9915
755,0.3768,7.8575
756,0.3596,7.7687
757,0.363,7.7246
758,0.3691,7.2698
759,0.371,7.685
760,0.3585,7.542
761,0.3541,7.7584
762,0.3552,8.0641
763,0.3635,7.747
764,0.357,7.3367
765,0.361,7.5925
766,0.3549,7.6142
767,0.3643,7.413
768,0.3608,7.1029
769,0.3665,6.8545
770,0.355,7.5974
771,0.3623,7.8024
772,0.3605,7.324
773,0.3757,7.2868
774,0.3565,7.6674
775,0.3689,7.5741
776,0.3581,7.4173
777,0.3508,7.0498
778,0.3597,7.224
779,0.371,6.6897
780,0.3653,6.9279
781,0.3679,7.1932
782,0.3585,7.5164
783,0.3701,7.5744
784,0.3542,7.8363
785,0.3546,7.9432
786,0.3532,7.9007
787,0.3517,7.9958
788,0.3566,7.9918
789,0.3567,7.9608
790,0.3543,8.0293
791,0.3606,8.1516
792,0.3844,7.5507
793,0.3631,7.646
794,0.3631,7.8063
795,0.3539,7.6464
796,0.354,7.3136
797,0.3581,6.4616
798,0.3531,6.6986
799,0.3729,5.6048
800,0.3805,5.5621
801,0.3751,6.1673
802,0.3699,5.9527
803,0.366,6.1703
804,0.3662,6.3447
805,0.3874,6.6357
806,0.3755,6.5188
807,0.3751,6.6372
808,0.3674,6.4893
809,0.3565,6.67
810,0.3772,6.388
811,0.3699,6.6264
812,0.3647,6.8271
813,0.3592,6.5975
814,0.3598,6.3325
815,0.3758,6.5413
816,0.3583,6.2839
817,0.3632,6.8159
818,0.3654,6.4996
819,0.3694,6.6671
820,0.3545,6.8269
821,0.3556,6.983
822,0.3613,6.7766
823,0.3683,7.0195
824,0.3544,6.6643
825,0.3549,6.7465
826,0.3649,6.6697
827,0.3646,6.9869
828,0.3559,7.1349
829,0.3544,7.2483
830,0.3603,7.1585
831,0.3543,6.8363
832,0.3534,7.1886
833,0.3564,7.1379
834,0.3542,7.1042
835,0.3553,6.9993
836,0.3608,6.8081
837,0.3535,7.404
838,0.3606,7.0817
839,0.3565,7.4101
840,0.3576,7.3517
841,0.3565,7.173
842,0.3546,7.1044
843,0.3585,7.0384
844,0.3565,7.017
845,0.3555,7.1794
846,0.3511,6.9657
847,0.3484,7.3231
848,0.3513,7.6724
849,0.3579,7.0214
850,0.352,7.4563
851,0.3591,7.1818
852,0.3516,7.2061
853,0.3509,7.2885
854,0.3468,7.1413
855,0.3491,7.4945
856,0.3654,6.9805
857,0.3475,7.0678
858,0.3487,7.0489
859,0.353,7.2388
860,0.3479,7.3857
861,0.3452,7.2781
862,0.3514,7.1693
863,0.3605,7.383
864,0.356,7.5884
865,0.3567,7.5918
866,0.3616,7.3723
867,0.3674,7.1028
868,0.3501,7.6816
869,0.3446,7.4047
870,0.3473,7.8803
871,0.3576,7.3168
872,0.3432,7.6872
873,0.3431,7.6408
874,0.3511,7.5954
875,0.3549,7.4596
876,0.345,7.5997
877,0.3501,7.4674
878,0.3555,7.4779
879,0.3577,7.4779
880,0.3852,7.2489
881,0.3498,7.3285
882,0.3555,7.1785
883,0.3511,7.2717
884,0.346,7.0739
885,0.3574,7.4222
886,0.3582,7.0872
887,0.3476,7.1575
888,0.3485,7.2095
889,0.3485,7.3877
890,0.3503,7.6179
891,0.3439,7.3776
892,0.3553,7.5312
893,0.3483,7.4572
894,0.349,7.5958
895,0.3647,7.1142
896,0.3588,7.556
897,0.3516,7.5837
898,0.3467,7.7799
899,0.3452,7.6553
900,0.3552,7.5885
901,0.3482,7.499
902,0.3455,7.6647
903,0.3443,7.6936
904,0.3528,7.7264
905,0.3432,7.7848
906,0.3449,7.7122
907,0.3426,7.9764
908,0.3454,8.0033
909,0.3405,7.7346
910,0.3531,7.5079
911,0.345,7.3695
912,0.3437,7.6718
913,0.3486,7.613
914,0.3453,7.7495
915,0.355,7.6511
916,0.3472,7.7706
917,0.3568,7.5496
918,0.3458,7.8843
919,0.3501,7.622
920,0.3562,7.6549
921,0.3531,7.5768
922,0.3418,7.851
923,0.3383,7.9458
924,0.349,7.4403
925,0.3583,7.3581
926,0.3453,7.3053
927,0.3437,7.6024
928,0.3444,7.3445
929,0.3485,7.5118
930,0.3418,7.6074
931,0.3431,7.6333
932,0.352,7.1791
933,0.348,7.1279
934,0.352,6.6297
935,0.3476,7.2824
936,0.3464,6.8522
937,0.3485,7.0664
938,0.3525,7.1216
939,0.342,7.3206
940,0.3453,7.4239
941,0.3435,7.3229
942,0.344,7.3437
943,0.3382,7.5558
944,0.3594,7.5111
945,0.3677,7.3067
946,0.3662,6.763
947,0.3432,7.1276
948,0.3534,7.453
949,0.3481,7.2537
950,0.3605,6.8962
951,0.342,7.341
952,0.361,7.5696
953,0.3438,7.5575
954,0.3458,7.801
955,0.3383,7.7257
956,0.3443,7.7886
957,0.3483,7.8348
958,0.3412,8.0524
959,0.3425,7.9072
960,0.3458,8.0751
961,0.3497,8.016
962,0.3439,8.0934
963,0.3518,8.2828
964,0.3423,7.8148
965,0.3405,7.6871
966,0.3534,8.1728
967,0.3443,7.912
968,0.3438,8.018
969,0.3501,8.0555
970,0.3435,8.4836
971,0.3379,8.1095
972,0.3449,8.2438
973,0.3382,8.3538
974,0.3427,8.3091
975,0.3416,7.9111
976,0.3447,8.2057
977,0.3541,7.9845
978,0.3456,7.7024
979,0.3424,7.992
980,0.3439,7.3856
981,0.3465,7.0951
982,0.3485,7.3484
983,0.3655,7.1608
984,0.3631,6.7784
985,0.353,7.1949
986,0.3387,7.4298
987,0.341,7.7621
988,0.3455,8.4689
989,0.344,7.7663
990,0.3476,7.8173
991,0.3411,8.2929
992,0.3479,7.6304
993,0.343,7.6364
994,0.3642,7.5936
995,0.3416,7.6016
996,0.3385,7.9132
997,0.3413,7.9751
998,0.3622,7.0012
999,0.3649,7.3405
1000,0.3488,7.3751
1001,0.3446,8.0743
1002,0.3675,7.6623
1003,0.3509,7.5634
1004,0.3512,7.7606
1005,0.3499,7.4065
1006,0.3464,7.4417
1007,0.3625,7.3983
1008,0.3792,7.5816
1009,0.3581,7.8755
1010,0.3559,7.8768
1011,0.3667,6.5961
1012,1.0634,7.9284
1013,0.7423,7.8731
1014,0.4812,7.1288
1015,0.4008,6.4061
1016,0.4088,5.8554
1017,0.4386,5.4923
1018,0.6831,6.5794
1019,0.5867,5.6467
1020,0.9548,6.1154
1021,1.2862,6.7276
1022,1.744,6.4739
1023,1.2022,6.1137
1024,1.0867,4.9325
1025,0.8633,4.5087
1026,1.2711,5.0393
1027,1.0332,5.5381
1028,0.9222,4.5369
1029,0.9398,4.8832
1030,0.7887,4.6935
1031,0.8208,4.2835
1032,0.7758,4.0594
1033,1.0568,4.4721
1034,0.9711,4.1105
1035,0.7677,4.2607
1036,0.8053,4.0517
1037,0.8568,4.4388
1038,0.6941,4.6424
1039,0.629,4.4222
1040,0.703,4.1602
1041,0.7025,3.7948
1042,0.7691,3.8538
1043,0.6926,4.7922
1044,0.5419,4.9911
1045,0.6259,5.0996
1046,0.86,3.6014
1047,1.0116,3.251
1048,0.845,3.2791
1049,0.9548,3.4667
1050,0.8107,3.4411
1051,0.705,3.972
1052,0.6927,4.3154
1053,0.6331,4.5541
1054,0.6898,4.2666
1055,0.6907,3.7373
1056,0.7648,3.4056
1057,0.7323,3.4122
1058,0.8645,3.4577
1059,0.8808,3.7909
1060,0.8114,3.7141
1061,0.8381,3.9756
1062,0.6694,4.0285
1063,0.6379,3.8411
1064,0.8494,4.0951
1065,0.7996,3.8134
1066,0.7579,3.7654
1067,0.654,3.6025
1068,0.6826,3.4275
1069,0.7008,3.8178
1070,0.6929,3.7881
1071,0.7016,4.6552
1072,0.645,4.2019
1073,0.7363,4.3487
1074,0.6389,4.4635
1075,0.5784,4.4005
1076,0.6949,3.7304
1077,0.6906,3.8256
1078,0.6561,3.9977
1079,0.6163,4.1151
1080,0.6061,3.9686
1081,0.6458,4.3095
1082,0.6736,4.0945
1083,0.7303,3.8434
1084,0.7948,3.8197
1085,0.6685,3.8209
1086,0.6242,3.7359
1087,0.668,4.1366
1088,0.6096,4.5354
1089,0.6801,4.1854
1090,0.6468,3.7999
1091,0.585,3.9448
1092,0.5731,4.2354
1093,0.6593,4.3231
1094,0.6844,4.2826
1095,0.6379,4.1331
1096,0.6923,3.9505
1097,0.7302,3.9667
1098,0.7619,4.6024
1099,0.5946,4.2273
1100,0.5554,4.7367
1101,0.6458,4.388
1102,0.6581,3.9104
1103,0.6229,4.0311
1104,0.6122,3.9368
1105,0.6407,4.3087
1106,0.5965,4.1704
1107,0.6043,4.2805
1108,0.5574,5.0148
1109,0.4912,5.0697
1110,0.4651,5.4
1111,0.5042,5.2675
1112,0.4641,5.264
1113,0.4595,5.7787
1114,0.4355,5.663
1115,0.4483,5.9107
1116,0.4555,6.043
1117,0.429,5.854
1118,0.4534,5.8617
1119,0.427,6.2101
1120,0.4171,6.0721
1121,0.4169,6.2047
1122,0.4379,6.3682
1123,0.4146,6.7588
1124,0.4086,7.1116
1125,0.398,6.6561
1126,0.4169,6.6293
1127,0.4132,6.7308
1128,0.4101,6.7613
1129,0.3951,6.3902
1130,0.411,6.375
1131,0.3905,6.4274
1132,0.404,6.2667
1133,0.4136,6.7337
1134,0.4029,6.672
1135,0.4007,6.6585
1136,0.3868,6.8826
1137,0.3881,7.3926
1138,0.3928,7.5736
1139,0.4138,5.812
1140,0.4019,6.5052
1141,0.4004,6.5674
1142,0.3959,6.1549
1143,0.3959,6.2009
1144,0.3808,6.3548
1145,0.3913,6.4845
1146,0.3862,6.7282
1147,0.3846,6.6568
1148,0.411,6.7168
1149,0.39,6.7483
1150,0.3922,5.861
1151,0.4086,5.8951
1152,0.3872,6.4236
1153,0.4146,6.4288
1154,0.395,6.6017
1155,0.3804,6.6302
1156,0.3882,6.6319
1157,0.4152,6.6563
1158,0.3869,6.7447
1159,0.3874,7.1301
1160,0.373,7.4644
1161,0.3885,7.314
1162,0.3778,7.522
1163,0.3831,7.0985
1164,0.3802,7.3007
1165,0.3721,7.3807
1166,0.3743,6.9039
